@relation SINE1
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.84566,0.13209,p
0.41338,0.78680,p
0.81879,0.78677,n
0.50595,0.25653,p
0.74217,0.71887,n
0.77955,0.64469,p
0.94748,0.73210,p
0.89262,0.99112,n
0.58016,0.80651,p
0.83627,0.87886,n
0.96024,0.04456,p
0.56331,0.10201,p
0.02393,0.29963,n
0.33534,0.88641,n
0.80913,0.31249,p
0.12250,0.25896,n
0.97346,0.93628,n
0.34344,0.65449,n
0.89765,0.59092,p
0.92078,0.95206,n
0.67887,0.51028,p
0.24815,0.87468,p
0.31671,0.25794,p
0.94514,0.55183,p
0.13754,0.29983,n
0.30679,0.88430,n
0.59555,0.94259,p
0.43793,0.76137,n
0.74819,0.77919,n
0.67738,0.87356,n
0.64229,0.40096,p
0.77577,0.23708,p
0.75054,0.02525,p
0.29884,0.07309,p
0.06204,0.18326,p
0.72053,0.70420,n
0.44768,0.15222,n
0.80657,0.49790,p
0.93387,0.93667,n
0.50439,0.06067,p
0.83939,0.81510,n
0.96685,0.31808,p
0.41723,0.65625,n
0.29131,0.22483,p
0.08534,0.33757,n
0.36345,0.45229,n
0.91700,0.53948,p
0.73296,0.12759,p
0.79867,0.76407,n
0.49634,0.57153,n
0.65687,0.81668,n
0.83271,0.43183,p
0.64064,0.70382,n
0.45133,0.39178,p
0.14468,0.96108,n
0.77342,0.31814,p
0.78437,0.77014,n
0.69171,0.92299,n
0.77950,0.12261,p
0.08026,0.09157,n
0.15423,0.13668,p
0.14099,0.27907,n
0.84459,0.18425,n
0.78657,0.96467,p
0.14561,0.18844,n
0.71075,0.95017,n
0.41380,0.93526,n
0.37678,0.20353,p
0.76226,0.16170,p
0.42944,0.84362,n
0.45085,0.99750,n
0.98297,0.98568,n
0.88970,0.07169,p
0.10108,0.92438,n
0.63567,0.26567,p
0.11643,0.42130,n
0.01619,0.55503,n
0.61453,0.40629,n
0.81519,0.29099,p
0.05176,0.22783,n
0.94020,0.07209,p
0.70587,0.88950,n
0.46747,0.28499,p
0.31445,0.02264,p
0.47747,0.29093,p
0.90636,0.17782,p
0.90216,0.76537,p
0.90553,0.29220,p
0.68045,0.13256,p
0.61094,0.47804,p
0.73106,0.68916,n
0.46534,0.28131,p
0.13263,0.03048,p
0.34497,0.97004,n
0.82874,0.63207,p
0.45519,0.45685,n
0.17572,0.65030,n
0.51723,0.46030,p
0.17279,0.36167,n
0.34273,0.28653,p
0.41845,0.95302,n
0.74207,0.62490,p
0.91860,0.53441,p
0.00902,0.00617,p
0.53864,0.15815,p
0.71728,0.50159,p
0.66726,0.19738,p
0.91238,0.69549,p
0.72716,0.25304,p
0.98282,0.79303,p
0.87544,0.15531,p
0.14829,0.37235,n
0.92322,0.14975,p
0.35085,0.84938,n
0.18067,0.05078,p
0.94515,0.41044,p
0.16436,0.86495,n
0.08011,0.67683,n
0.11863,0.12882,n
0.18881,0.72891,n
0.88904,0.31254,p
0.30321,0.63817,n
0.58799,0.49981,p
0.41390,0.95990,n
0.60724,0.97875,n
0.31766,0.46435,n
0.88319,0.71313,p
0.27305,0.75361,n
0.58262,0.22943,p
0.47109,0.02008,p
0.77704,0.23931,p
0.58253,0.43021,p
0.99203,0.14370,p
0.43679,0.97340,n
0.29778,0.41073,n
0.14621,0.98603,p
0.65009,0.66181,n
0.28977,0.96738,n
0.39904,0.26311,p
0.23462,0.73753,n
0.59139,0.77181,n
0.63026,0.34854,p
0.62251,0.88554,n
0.86796,0.54312,p
0.15428,0.78215,n
0.32880,0.79574,n
0.94453,0.98913,n
0.91508,0.51864,n
0.25373,0.38120,n
0.48822,0.82688,n
0.20292,0.57319,n
0.45715,0.03207,p
0.88458,0.53301,n
0.73515,0.03195,n
0.79124,0.25542,p
0.49394,0.43194,p
0.14513,0.44074,n
0.07471,0.88881,n
0.42184,0.05477,p
0.39414,0.88799,n
0.81317,0.46059,p
0.77362,0.47530,p
0.56986,0.85743,n
0.90540,0.64615,p
0.46750,0.37926,p
0.63466,0.94463,n
0.06191,0.60591,n
0.96661,0.09640,p
0.79644,0.39263,p
0.25291,0.49559,n
0.87573,0.41185,p
0.23769,0.96427,n
0.53773,0.28763,p
0.98755,0.00606,p
0.82523,0.38180,p
0.05463,0.42964,n
0.90589,0.42155,n
0.55847,0.35624,p
0.69780,0.45334,p
0.98993,0.71496,p
0.15789,0.19555,n
0.83365,0.29234,n
0.10099,0.12136,n
0.08827,0.93208,n
0.71996,0.12344,p
0.63881,0.38986,p
0.47886,0.43737,n
0.56521,0.20003,p
0.99858,0.31864,p
0.77734,0.38251,p
0.73393,0.17086,p
0.68294,0.19211,p
0.50659,0.11648,p
0.21991,0.03677,p
0.40099,0.68441,n
0.18663,0.54915,n
0.75686,0.37546,p
0.84975,0.17044,p
0.91522,0.29160,p
0.24780,0.25292,n
