@relation SINE1
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.69610,0.68068,n
0.71520,0.34748,p
0.03824,0.71928,n
0.05845,0.72038,n
0.49864,0.07942,p
0.35709,0.78801,n
0.23782,0.64041,n
0.11775,0.18853,n
0.61483,0.28321,p
0.59209,0.05589,p
0.13018,0.10736,p
0.05508,0.15112,n
0.93600,0.87371,n
0.31223,0.60357,n
0.01838,0.74078,n
0.46044,0.82359,n
0.38275,0.10006,n
0.36152,0.56116,n
0.87779,0.12247,p
0.90535,0.57696,n
0.84705,0.31906,p
0.31254,0.30489,p
0.84172,0.79356,n
0.08449,0.91922,n
0.27366,0.01819,p
0.57011,0.25565,p
0.40163,0.56501,n
0.65158,0.14254,p
0.25354,0.24122,p
0.96881,0.22369,n
0.08991,0.34068,n
0.72720,0.22077,p
0.13599,0.75042,n
0.63139,0.62043,n
0.40368,0.69481,n
0.27696,0.27452,n
0.93589,0.06792,p
0.53732,0.50378,p
0.34441,0.85835,n
0.93244,0.12568,p
0.63742,0.24653,p
0.43247,0.49584,n
0.69226,0.41848,p
0.46796,0.09873,p
0.48002,0.16922,p
0.44903,0.78376,n
0.32565,0.82504,n
0.87217,0.90445,n
0.89468,0.15250,p
0.25101,0.32547,n
0.37236,0.22194,p
0.20572,0.98700,n
0.11529,0.92028,n
0.29473,0.70803,n
0.79884,0.18357,p
0.97828,0.47762,p
0.82096,0.70615,p
0.27586,0.18515,p
0.70767,0.00069,p
0.86393,0.23057,n
0.27824,0.76788,n
0.31483,0.86687,n
0.64312,0.51190,p
0.78685,0.17344,p
0.81373,0.32259,p
0.98734,0.35203,p
0.34315,0.56769,n
0.30547,0.37457,p
0.12041,0.89558,n
0.02223,0.63184,n
0.19609,0.50557,n
0.66169,0.93484,n
0.70643,0.92355,p
0.38211,0.34731,p
0.02963,0.63143,n
0.19920,0.57134,n
0.50906,0.57074,n
0.61737,0.02161,p
0.69120,0.99065,n
0.44327,0.16276,p
0.57107,0.15022,p
0.43520,0.08016,p
0.08177,0.12448,n
0.79758,0.40524,p
0.61629,0.07594,p
0.90604,0.87991,n
0.32663,0.17195,p
0.93022,0.28492,p
0.99853,0.04199,p
0.15077,0.23108,n
0.49351,0.16272,p
0.69571,0.74989,n
0.72754,0.52535,p
0.34763,0.26801,p
0.30063,0.77308,n
0.43181,0.30491,p
0.60256,0.55824,p
0.69295,0.53487,p
0.51684,0.73618,n
0.48364,0.27486,p
0.20102,0.97255,n
0.27151,0.82439,n
0.31326,0.30584,p
0.33878,0.09865,p
0.34079,0.16572,p
0.26067,0.56987,n
0.27988,0.69199,n
0.82872,0.67699,p
0.93119,0.49223,p
0.50554,0.65885,p
0.70653,0.43338,p
0.58889,0.00652,p
0.07688,0.14833,n
0.16647,0.44683,n
0.25564,0.36617,n
0.45822,0.01343,p
0.67557,0.90329,n
0.74984,0.91981,p
0.19145,0.71372,n
0.95561,0.93676,n
0.58381,0.21470,p
0.04037,0.23986,n
0.24119,0.50773,n
0.00630,0.12426,n
0.78551,0.52004,p
0.11054,0.43450,n
0.42303,0.41191,n
0.05172,0.66469,n
0.89861,0.03115,p
0.72115,0.50909,p
0.76769,0.24573,p
0.10437,0.57117,n
0.73041,0.85724,n
0.88013,0.48138,p
0.96970,0.90736,n
0.65599,0.25226,p
0.73018,0.58836,p
0.46107,0.66974,p
0.71817,0.66582,n
0.00512,0.17935,n
0.77992,0.20496,p
0.53082,0.39512,p
0.98222,0.20965,p
0.93753,0.06037,p
0.23663,0.67875,n
0.64662,0.47745,p
0.34517,0.82547,n
0.44171,0.54170,n
0.88644,0.24262,p
0.61227,0.29499,p
0.18477,0.99378,p
0.54716,0.16148,p
0.04458,0.59761,n
0.43412,0.18772,p
0.06700,0.95997,n
0.00547,0.60932,n
0.09972,0.67710,n
0.81460,0.54884,p
0.37070,0.34508,p
0.56977,0.84913,n
0.87491,0.41520,p
0.22547,0.20484,p
0.75485,0.66694,p
0.92248,0.16224,p
0.19186,0.95218,n
0.02875,0.33343,n
0.99911,0.07033,p
0.31254,0.00518,p
0.66248,0.73142,p
0.23885,0.98325,n
0.95744,0.88837,n
0.59724,0.96532,n
0.56317,0.79024,n
0.79462,0.61453,p
0.45922,0.59193,n
0.91102,0.52300,p
0.88153,0.92733,n
0.88770,0.83142,n
0.37030,0.50827,n
0.36280,0.35145,n
0.15657,0.41446,n
0.81264,0.38118,n
0.87471,0.87175,p
0.70913,0.88932,p
0.39465,0.38713,n
0.13510,0.10266,p
0.06027,0.83461,n
0.78795,0.03565,p
0.87127,0.25029,n
0.75797,0.66684,p
0.55836,0.56341,n
0.66310,0.28313,p
0.63660,0.77000,n
0.65974,0.14424,p
0.91708,0.82884,p
0.58068,0.98378,p
0.81844,0.18331,p
0.56963,0.78799,p
0.41796,0.20250,p
0.71269,0.06898,p
0.67122,0.53636,p
0.32360,0.20271,p
0.33820,0.55756,n
0.10127,0.51737,n
0.35600,0.35861,n
0.34477,0.00350,p
0.36639,0.52274,n
0.77538,0.06322,p
0.91281,0.74902,p
0.02946,0.48899,n
0.66395,0.05629,p
0.55271,0.81005,n
0.46713,0.37601,p
0.68933,0.16935,p
0.60007,0.94490,n
0.59863,0.78732,n
0.03319,0.30098,n
0.96399,0.74708,n
0.55250,0.76869,n
0.77126,0.24575,n
0.70866,0.43176,p
0.11001,0.77435,n
0.62805,0.54699,p
0.72063,0.98628,n
0.54215,0.84518,n
0.97107,0.56773,n
0.34735,0.15019,p
0.42081,0.31050,p
0.63080,0.19138,p
0.61723,0.73399,n
0.37644,0.30102,p
0.79465,0.19004,p
0.82825,0.49551,p
0.18086,0.36445,n
0.96167,0.40344,p
0.46844,0.57921,n
0.06138,0.92003,n
0.00636,0.83461,n
0.76009,0.27588,p
0.46566,0.38564,p
0.11391,0.70427,n
0.59424,0.05758,p
0.51789,0.30054,p
0.07714,0.32529,p
0.07550,0.92715,n
0.54188,0.19984,p
0.40971,0.91753,p
0.34586,0.43385,p
0.69419,0.97853,p
0.52445,0.04672,p
0.97236,0.45237,p
0.47721,0.08115,p
0.67964,0.87560,n
0.22660,0.04573,p
0.64295,0.67544,n
0.21482,0.13504,p
0.30901,0.95350,p
0.74898,0.42724,p
0.66401,0.55102,p
0.89071,0.58557,p
0.42213,0.15145,p
0.31689,0.59359,n
0.22196,0.08853,p
0.27608,0.63004,n
0.39432,0.81631,n
0.35281,0.17081,p
0.33821,0.44455,p
0.79016,0.92136,n
0.84643,0.86439,n
0.64227,0.96040,n
0.76967,0.12894,p
0.24826,0.94948,n
