@relation SINE1
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.82936,0.45735,p
0.34824,0.63231,n
0.60421,0.89818,n
0.63604,0.53405,p
0.74535,0.36732,p
0.70707,0.50715,p
0.56781,0.18791,p
0.53558,0.18031,p
0.89933,0.73799,p
0.54307,0.07252,p
0.73719,0.34807,p
0.88687,0.11751,p
0.30440,0.44181,n
0.31334,0.64343,n
0.34445,0.28372,p
0.65923,0.83937,n
0.46656,0.27643,p
0.04153,0.00418,p
0.90540,0.60759,p
0.20040,0.60410,p
0.54643,0.76964,n
0.59415,0.36222,p
0.54370,0.29967,p
0.97485,0.03349,p
0.95983,0.53589,p
0.01488,0.46318,n
0.29073,0.21941,p
0.75287,0.07853,p
0.50023,0.90025,n
0.85004,0.19786,p
0.69257,0.78560,n
0.45105,0.15933,p
0.61923,0.59241,n
0.38165,0.51161,n
0.78164,0.49815,p
0.00080,0.48347,n
0.03936,0.08973,p
0.37912,0.21374,n
0.29116,0.23943,p
0.63026,0.04572,p
0.19439,0.65867,n
0.85263,0.30873,p
0.66656,0.10292,p
0.26701,0.79982,n
0.03577,0.89764,n
0.84046,0.03472,p
0.39225,0.26309,p
0.58973,0.42911,p
0.98296,0.01996,p
0.96532,0.78513,p
0.07255,0.91532,p
0.93633,0.68908,p
0.61807,0.60839,n
0.91425,0.00367,p
0.12237,0.83868,n
0.26487,0.53494,n
0.69247,0.49041,n
0.53832,0.37554,p
0.36762,0.79712,n
0.65059,0.68440,n
0.80385,0.50241,p
0.59700,0.87562,n
0.52183,0.48206,p
0.35838,0.28996,n
0.43944,0.01707,p
0.51374,0.58843,n
0.92390,0.82187,n
0.15213,0.50861,n
0.89964,0.67130,p
0.17434,0.82204,n
0.66549,0.05547,p
0.70447,0.02687,n
0.62319,0.13759,p
0.17437,0.78807,n
0.11071,0.13517,p
0.00478,0.80859,p
0.07999,0.77198,n
0.88841,0.62705,p
0.68985,0.53001,p
0.17653,0.90374,n
0.48949,0.42977,p
0.62473,0.08482,p
0.87227,0.84689,n
0.16402,0.22683,n
0.99038,0.39540,p
0.70578,0.52553,p
0.53277,0.27683,p
0.12296,0.05965,p
0.54606,0.50650,n
0.57791,0.16907,p
0.93932,0.04251,p
0.22032,0.16469,p
0.89588,0.59292,p
0.80888,0.46091,p
0.32052,0.90297,n
0.49426,0.21661,p
0.45482,0.00553,n
0.31964,0.97931,p
0.16939,0.26995,n
0.75980,0.40019,p
0.95979,0.28599,p
0.78418,0.34869,p
0.08313,0.20394,p
0.97192,0.47647,p
0.74817,0.22327,p
0.40634,0.13296,p
0.66018,0.11098,p
0.54703,0.37705,p
0.93801,0.04711,p
0.78267,0.91961,n
0.39757,0.35046,p
0.50804,0.46798,p
0.83033,0.31651,p
0.35944,0.92864,n
0.38774,0.77903,n
0.07550,0.22822,p
0.43210,0.66529,n
0.53776,0.67425,n
