@relation SINE1
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.37098,0.18524,p
0.38384,0.81250,n
0.25710,0.18850,p
0.07354,0.35401,n
0.97174,0.13854,p
0.61673,0.67522,n
0.13991,0.59609,p
0.95484,0.04299,n
0.00973,0.78431,n
0.71549,0.55879,p
0.47927,0.17399,p
0.02070,0.01851,p
0.01603,0.22848,n
0.66002,0.02245,p
0.74020,0.24965,p
0.14282,0.15379,n
0.14436,0.44528,n
0.50421,0.93996,n
0.39107,0.33548,n
0.33296,0.26692,p
0.79137,0.11361,p
0.23104,0.78315,n
0.44265,0.29854,n
0.13904,0.73273,n
0.32082,0.39812,n
0.51421,0.71692,n
0.48175,0.67201,n
0.25063,0.63800,n
0.72769,0.68545,n
0.79022,0.54531,p
0.00279,0.15875,n
0.21518,0.23221,n
0.56545,0.49245,p
0.56257,0.09217,p
0.40945,0.11887,p
0.62695,0.55324,p
0.79664,0.02243,p
0.53909,0.50872,p
0.74795,0.69002,p
0.80454,0.31895,p
0.47202,0.29355,p
0.06554,0.76206,n
0.97111,0.56990,p
0.16331,0.80641,n
0.53326,0.10091,p
0.12053,0.67520,n
0.85837,0.95989,n
0.60308,0.40957,n
0.97626,0.28379,p
0.68224,0.44754,p
0.05384,0.60282,n
0.41222,0.40734,n
0.09499,0.34138,n
0.37145,0.79628,n
0.74681,0.46660,p
0.38564,0.67933,n
0.85593,0.73965,p
0.31209,0.05076,n
0.73713,0.47869,p
0.26516,0.96634,n
0.54634,0.24846,n
0.58883,0.87031,n
0.92133,0.75773,p
0.51941,0.62565,n
0.33224,0.82200,n
0.54484,0.53653,n
0.71457,0.55075,p
0.72091,0.23882,p
0.32111,0.33624,n
0.72479,0.83508,n
0.44622,0.39050,p
0.71525,0.57150,p
0.05003,0.98073,n
0.49533,0.03209,p
0.54558,0.28801,p
0.57567,0.30452,p
0.08564,0.31415,n
0.89164,0.59463,p
0.68598,0.92575,n
0.40028,0.98568,p
0.81798,0.42123,p
0.69849,0.02397,p
0.56195,0.12999,n
0.53572,0.01129,p
0.95337,0.93856,n
0.63673,0.30266,p
0.60658,0.13022,n
0.00893,0.61065,n
0.47784,0.69484,n
0.56195,0.33795,p
0.87150,0.59818,p
0.78258,0.52460,n
0.85466,0.34390,p
0.67888,0.63118,p
0.84150,0.23931,p
0.40224,0.07510,p
0.81094,0.62858,p
0.49848,0.70236,n
0.39244,0.74426,n
0.94492,0.97471,n
0.67445,0.61662,p
0.80092,0.58864,p
0.34717,0.61276,n
0.87853,0.49555,p
0.45567,0.19526,p
0.27887,0.83945,n
0.37158,0.09165,p
0.86981,0.72089,p
0.32664,0.55117,p
0.94864,0.36917,p
0.89651,0.12322,p
0.78792,0.56007,p
0.35065,0.16036,p
0.41484,0.23083,p
0.56580,0.22921,p
0.18225,0.92123,n
0.36741,0.36680,n
0.95303,0.02099,p
0.65904,0.63554,n
0.47683,0.88539,n
0.58732,0.56071,n
0.88841,0.34746,p
0.30825,0.56146,n
0.18719,0.70152,n
0.21649,0.12224,p
0.27090,0.17845,p
0.30481,0.34451,n
0.18297,0.38524,n
0.52543,0.05911,p
0.40892,0.95925,n
0.66866,0.45742,p
0.21797,0.57321,n
0.66712,0.79912,n
0.81224,0.43555,p
0.79529,0.61036,p
0.17750,0.32272,n
0.95206,0.10812,p
0.24859,0.80212,n
0.73747,0.20370,p
0.53876,0.53209,n
0.41806,0.48594,n
0.33840,0.25569,p
0.50540,0.36158,p
0.99700,0.92984,n
0.06932,0.83299,p
0.87446,0.98460,n
0.00789,0.50382,p
0.61624,0.46143,p
0.65479,0.90066,n
0.48656,0.67437,n
0.01551,0.55821,n
0.02203,0.36667,p
0.76017,0.41703,p
0.03153,0.35871,n
0.04266,0.58569,n
0.03015,0.66677,n
0.48727,0.79916,n
0.05908,0.66059,n
0.50187,0.92022,n
0.11289,0.91869,n
0.07331,0.40527,n
0.97987,0.38173,p
0.64998,0.17099,p
0.33686,0.38649,n
0.27206,0.25057,p
0.02334,0.98962,n
0.61458,0.35871,p
0.48870,0.45417,p
0.38404,0.88385,n
0.16263,0.06941,p
0.49930,0.92463,n
0.89454,0.75362,p
0.75548,0.67458,p
0.09368,0.52008,p
0.47738,0.79512,n
0.65303,0.33750,p
0.23130,0.51449,n
0.11074,0.09962,p
0.36923,0.12332,n
0.90014,0.70716,p
0.93947,0.37587,p
0.77526,0.16875,p
0.63040,0.22588,p
0.30904,0.29871,p
0.17880,0.51031,n
0.21309,0.17749,p
0.50355,0.17482,p
0.73564,0.35791,n
0.79601,0.72442,n
0.09246,0.07568,p
0.47160,0.48907,n
0.72429,0.63997,p
0.03833,0.84524,n
0.49986,0.31136,p
0.72720,0.00403,p
0.09323,0.41826,n
0.77243,0.41943,p
0.83976,0.26681,p
0.02403,0.34057,n
0.72387,0.33224,p
0.22140,0.98429,n
0.31258,0.38224,n
0.01628,0.01648,n
0.89211,0.94931,n
0.61310,0.36806,p
0.78606,0.92254,n
0.64878,0.59986,p
0.57957,0.99843,n
0.60549,0.29773,p
0.90801,0.61968,p
0.89979,0.19129,p
0.08340,0.10465,n
0.34598,0.32882,p
0.94813,0.06085,p
0.20687,0.61050,n
0.02885,0.90744,n
0.20455,0.04959,p
0.45525,0.47641,n
0.49787,0.48428,n
0.62543,0.51869,p
0.06057,0.61907,n
0.74825,0.56312,p
0.09080,0.09594,n
0.47729,0.95275,n
0.83629,0.81584,n
0.11944,0.67998,n
0.79386,0.06185,p
0.85183,0.33030,n
0.58368,0.91513,n
0.15793,0.34458,n
0.05619,0.41396,p
0.92030,0.47395,p
0.89794,0.04243,p
0.80384,0.66567,p
0.54415,0.27203,p
0.84564,0.06094,p
0.31911,0.56190,n
0.80224,0.69219,p
0.78158,0.23650,p
0.28459,0.12130,p
0.47894,0.22238,p
0.53031,0.35971,p
0.80188,0.95626,n
0.97201,0.60620,n
0.49887,0.52900,p
0.90585,0.75795,p
0.54758,0.97988,n
0.76287,0.15164,p
0.91648,0.67023,p
0.25642,0.19109,p
0.75247,0.75301,n
0.06721,0.80255,n
0.44366,0.02738,n
0.70259,0.21025,p
0.69304,0.46604,p
0.15778,0.96425,n
0.20278,0.23089,n
0.46199,0.90509,n
0.33995,0.23767,p
0.98198,0.35679,p
0.51690,0.57516,n
0.43624,0.79347,n
0.86105,0.50003,p
0.89625,0.41784,p
0.88185,0.18639,p
0.48160,0.72944,n
0.58343,0.00023,p
0.07162,0.85528,n
0.30685,0.99699,n
0.64222,0.39759,p
0.45802,0.34363,p
0.09598,0.48945,n
0.83566,0.31524,p
