@relation SINE1
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.27190,0.52953,n
0.77402,0.04707,p
0.36645,0.98551,n
0.61800,0.77756,p
0.04076,0.06373,n
0.67998,0.48487,p
0.17933,0.87215,n
0.88711,0.96077,n
0.30853,0.99314,p
0.11051,0.66908,n
0.20190,0.41866,n
0.19784,0.93681,n
0.34122,0.59045,n
0.75070,0.75962,n
0.72496,0.59580,p
0.45336,0.92012,n
0.18436,0.38833,n
0.36242,0.89361,n
0.07745,0.11443,n
0.74669,0.85571,n
0.31207,0.17573,p
0.58992,0.78791,n
0.92627,0.63200,p
0.88554,0.12226,p
0.57501,0.77325,n
0.21642,0.91821,n
0.64183,0.97302,n
0.95647,0.40654,p
0.84349,0.20870,p
0.97537,0.83741,n
0.22131,0.19595,p
0.82040,0.21057,p
0.65541,0.30667,p
0.64430,0.87646,p
0.48197,0.64349,n
0.87048,0.19587,n
0.35051,0.14977,p
0.52610,0.62088,n
0.18570,0.87702,n
0.99116,0.09302,p
0.71946,0.33149,p
0.03528,0.83235,n
0.62209,0.55420,n
0.45550,0.95861,n
0.88939,0.72368,p
0.27590,0.24514,n
0.78128,0.59113,p
0.84529,0.76786,n
0.65605,0.12740,n
0.90793,0.93153,n
0.53865,0.64281,n
0.54279,0.50471,p
0.57453,0.92275,n
0.36956,0.98167,n
0.96513,0.35923,n
0.53956,0.61726,n
0.53798,0.95163,n
0.92399,0.59388,p
0.11261,0.33342,n
0.29099,0.22327,p
0.68877,0.40618,p
0.12988,0.87391,n
0.00076,0.93628,n
0.18533,0.69357,n
0.70268,0.68778,n
0.30998,0.12494,p
0.62878,0.70221,n
0.08866,0.51382,n
0.65773,0.20992,p
0.23428,0.90477,n
0.82086,0.94141,n
0.58034,0.32634,p
0.77302,0.37588,p
0.36425,0.14199,p
0.95368,0.75839,n
0.23457,0.20920,p
0.99026,0.14074,p
0.39619,0.00646,p
0.98859,0.64439,p
0.28963,0.14534,p
0.08277,0.02424,p
0.15390,0.55872,n
0.02461,0.01127,p
0.02444,0.97187,n
0.19646,0.15220,p
0.70903,0.19224,p
0.60880,0.17838,p
0.41816,0.10047,p
0.30945,0.06959,p
0.57699,0.93790,n
0.23017,0.90564,n
0.77083,0.81409,n
0.89295,0.09498,p
0.62715,0.05388,p
0.78056,0.59562,p
0.28009,0.49818,n
0.51760,0.11522,p
0.46693,0.44517,p
0.59188,0.39264,p
0.01822,0.63855,n
0.73498,0.24189,p
0.57183,0.88189,n
0.59958,0.72058,n
0.72819,0.99720,n
0.47507,0.50790,n
0.42379,0.57863,n
0.58015,0.68459,n
0.42689,0.34055,p
0.16456,0.16504,p
0.96138,0.54942,p
0.18574,0.77481,n
0.96674,0.33971,p
0.25690,0.16050,p
0.22166,0.35971,n
0.46895,0.16179,p
0.12011,0.45975,n
0.85413,0.71199,p
0.56917,0.08516,p
0.19842,0.81364,n
0.22037,0.54646,n
0.58934,0.79299,p
0.38942,0.71693,p
0.66361,0.21640,p
0.27998,0.12177,p
0.56985,0.39378,p
0.78070,0.09863,p
0.28879,0.05677,p
0.22417,0.03423,p
0.21445,0.35656,n
0.03121,0.89980,n
0.10122,0.71520,n
0.69227,0.36977,p
0.44731,0.03950,p
0.90921,0.44013,p
0.95412,0.40948,p
0.36643,0.17623,p
0.94921,0.26286,p
0.11208,0.89309,p
0.45873,0.26220,p
0.73119,0.58336,p
0.85861,0.21973,p
0.77620,0.16512,p
0.19828,0.31146,n
0.15545,0.41466,n
0.44505,0.45157,n
0.94004,0.81640,n
0.56361,0.04722,p
0.99907,0.74049,p
0.79345,0.54209,n
0.62348,0.85810,n
0.23934,0.50457,n
0.63698,0.11898,p
0.83799,0.62796,p
0.40923,0.70292,n
0.87358,0.31269,p
0.15640,0.06301,p
0.14339,0.28614,n
0.06942,0.13033,n
0.26112,0.34064,n
0.16417,0.47038,n
0.77168,0.51756,p
0.07218,0.17100,n
0.20894,0.95493,n
0.27121,0.87937,p
0.10030,0.25848,n
0.15404,0.55361,n
0.18625,0.93910,n
0.75527,0.93495,n
0.25942,0.03992,p
0.04255,0.90962,n
0.92343,0.51340,p
0.19541,0.77364,p
0.36690,0.34344,p
0.23234,0.84076,n
0.89621,0.43450,p
0.34296,0.51380,n
0.37628,0.84414,n
0.37207,0.38529,n
0.03657,0.15315,p
0.33917,0.91708,n
0.62014,0.58559,n
0.02473,0.94136,n
0.89910,0.54685,p
0.19569,0.87383,n
0.62195,0.30155,p
0.67742,0.09770,p
0.58959,0.09605,p
0.05422,0.32004,n
0.30123,0.24695,p
0.16500,0.99407,p
0.00645,0.28724,n
0.36671,0.87682,n
0.88374,0.09966,p
0.21051,0.16398,p
0.39552,0.00016,p
0.55771,0.93656,n
0.11966,0.86379,n
0.01871,0.07294,n
0.68410,0.49836,p
0.96798,0.76379,p
0.15761,0.66453,n
0.11694,0.39553,n
0.15795,0.14205,p
0.05978,0.38759,n
0.08451,0.89366,n
0.89053,0.73684,p
0.59069,0.25753,p
0.27560,0.12953,p
0.70892,0.40135,n
0.09402,0.34318,n
0.28907,0.23440,p
0.66102,0.69931,n
0.22325,0.52580,n
0.33975,0.49882,n
0.09304,0.41811,n
0.60395,0.33594,p
0.15703,0.91774,n
0.37660,0.88722,n
0.86075,0.05452,n
0.50877,0.23252,n
0.74722,0.28501,p
0.75016,0.71299,n
0.47355,0.62922,n
0.17534,0.01404,n
0.54911,0.67956,n
0.42816,0.14802,p
0.53766,0.38892,p
0.40018,0.40592,n
0.69548,0.14127,p
0.77905,0.75893,n
0.76160,0.22943,p
0.57737,0.51978,p
0.56470,0.25302,p
0.75651,0.67476,p
0.73143,0.60181,p
0.35305,0.16769,p
0.40333,0.54848,n
0.86371,0.69867,p
0.08785,0.71148,n
0.73384,0.04066,p
0.69049,0.57001,n
0.30896,0.22005,p
0.00650,0.91499,n
0.43132,0.05448,p
0.09255,0.20016,n
0.66872,0.91566,n
0.43832,0.42995,n
0.75539,0.70162,p
0.44050,0.43880,n
0.22551,0.35875,n
0.31090,0.93651,n
0.45960,0.08383,p
